frame_idx,rx_idx,presence_energy
0,0,283.9444221714722
1,0,300.73496121879214
2,0,312.16157884195485
3,0,298.9229104924773
4,0,282.6248461849543
5,0,301.6001402521394
6,0,306.6338815037733
7,0,284.0839228973043
8,0,281.0760160335319
9,0,288.3463326376444
10,0,275.1420037845277
11,0,278.62715180825387
12,0,291.3782501521846
13,0,287.58944211245176
14,0,296.28828930699746
15,0,284.639132641169
16,0,282.33845225505615
17,0,270.77233288397235
18,0,267.75963128515286
19,0,270.7218599584912
20,0,274.9958244918403
21,0,278.1972589264606
22,0,275.52740567484483
23,0,273.01314777769255
24,0,266.1742235989408
25,0,277.21848159810963
26,0,275.06694586654135
27,0,272.02158332059685
28,0,277.7496594922816
29,0,269.595010938344
30,0,271.62999561483247
31,0,269.5939935439911
32,0,268.48108781339585
33,0,270.56385412638156
34,0,269.89622938258105
35,0,282.4851692375498
36,0,274.53119959757237
37,0,264.7813018559756
38,0,262.8879790944978
39,0,265.814160860854
40,0,272.06297014107054
41,0,272.1219491983776
42,0,275.0770984413094
43,0,272.96137117885104
44,0,265.839358296974
45,0,273.2245083336046
46,0,275.4279294943359
47,0,271.41048777414943
48,0,271.36671267876153
49,0,272.23464570860654
50,0,275.58872221656264
51,0,271.47117290374086
52,0,269.6390987279818
53,0,283.29704937530437
54,0,281.31822617029997
55,0,270.88524787110435
56,0,274.37918197741374
57,0,268.99901726023853
58,0,269.1065331466468
59,0,261.28283247535404
60,0,273.542026518861
61,0,265.7305281844293
62,0,264.32771287618095
63,0,272.1764219548478
64,0,271.89926135828375
65,0,269.36192338917533
