frame_idx,rx_idx,presence_energy
0,0,313.6799591266157
1,0,923.890361556811
2,0,931.7224966258791
3,0,1017.1390046899191
4,0,1472.493385909322
5,0,570.7563118271123
6,0,1514.5076374051055
7,0,1587.8794628020091
8,0,459.7075707835747
9,0,2292.580744639441
10,0,1071.1795006682771
11,0,512.599521570357
12,0,451.5532843419877
13,0,471.2179082076109
14,0,492.2931254646628
15,0,518.6914311313561
16,0,922.5042720450915
17,0,1601.573296705833
18,0,1916.612962497931
19,0,1190.6233158619725
20,0,1783.6204210805088
21,0,1039.4753382866154
22,0,964.3433920523087
23,0,1483.7044181418976
24,0,1746.7470726811657
25,0,2137.226510560093
26,0,1749.3493667252744
27,0,1758.7478482039091
28,0,2482.99174786519
29,0,743.8700946089235
30,0,1926.6337746045485
31,0,997.8408849544929
32,0,1369.9750525504514
33,0,1192.7641089957774
34,0,1037.404534756433
35,0,866.1412766405526
36,0,1169.5358693183805
37,0,684.4854628514004
38,0,1387.5875468834302
39,0,731.1279304022264
40,0,641.2372759655877
41,0,599.9175905699572
42,0,742.6291759192313
43,0,1154.8035261641808
44,0,1238.86853060389
45,0,1236.7928959233082
46,0,1349.0559285168483
47,0,573.9339085821326
48,0,1428.0211215345962
49,0,1161.4729760423472
50,0,2229.585336683979
51,0,618.6412552824381
52,0,2672.954458658032
53,0,1231.5961673090114
54,0,2233.6647084245474
55,0,2399.288571742171
56,0,1087.0018034653895
57,0,1567.257685386168
58,0,1406.8566543165375
59,0,1039.9160609681371
60,0,940.7512462333048
61,0,1714.6367359460855
62,0,1579.637893365178
63,0,2864.33836636583
64,0,1764.503660458542
65,0,1296.7132175051356
